 PP,-6.757371
 PR,3.370420
 PS,-2.413565
 PT,-4.454785
 PU,2.167020
 PW,-5.371076
 PY,-1.929057
 Q ,-4.811460
 QO,-6.757371
 QU,2.198336
 R ,-3.146453
 R',-6.064223
 RA,2.251221
 RD,-3.761638
 RE,3.891833
 RG,-6.757371
 RH,-1.484371
 RI,2.127101
 RM,-5.658758
 RO,2.586801
 RR,-4.811460
 RS,-6.757371
 RT,-5.371076
 RU,1.712521
 RY,-3.146453
 S ,-1.368299
 S',-3.323383
 SA,3.722899
 SC,1.721498
 SD,-6.757371
 SE,3.540487
 SF,-3.866999
 SG,-6.064223
 SH,3.798572
 SI,3.102687
 SJ,-6.757371
 SK,0.586702
 SL,1.789187
 SM,1.535428
 SN,0.195358
 SO,3.801614
 SP,2.631032
 SQ,-0.146674
 SR,-1.235910
 SS,-4.677929
 ST,3.629345
 SU,3.162679
 SV,-6.757371
 SW,1.357253
 SY,0.059365
 SZ,-4.677929
 T ,-1.332420
 T',-2.552678
 TA,2.540523
 TE,2.463217
 TH,6.100402
 TI,2.549370
 TL,-4.965611
 TN,-6.064223
 TO,4.854259
 TR,2.792366
 TS,-4.049320
 TT,-5.658758
 TU,1.735325
 TW,2.161414
 TX,-6.757371
 TY,0.266388
 TZ,-6.064223
 U ,-2.973181
 U',-6.757371
 UA,-6.757371
 UB,-3.761638
 UC,-5.658758
 UD,-1.084047
 UE,-5.658758
 UF,-6.064223
 UG,-1.581221
 UH,-6.757371
 UL,-1.882173
 UM,-2.162251
 UN,2.799887
 UP,2.771714
 UR,-0.879635
 US,2.065541
 UT,0.209597
 UU,-6.757371
 UV,-4.560146
 UW,-6.757371
 UX,-6.064223
 UZ,-3.425166
 V ,-1.794526
 V',-6.064223
 VA,1.839003
 VE,2.315889
 VI,2.182473
 VL,-5.658758
 VN,-6.064223
 VO,1.273039
 VR,-4.965611
 VS,-5.371076
 VU,-1.815728
 VY,-5.371076
 W ,-2.732019
 W',-6.757371
 WA,4.217118
 WD,-6.757371
 WE,3.697643
 WH,4.472383
 WI,4.144025
 WM,-6.757371
 WO,3.426435
 WR,1.392809
 WU,-2.012438
 WW,-5.371076
 WY,-2.750037
 X ,-2.093931
 XA,-4.965611
 XC,-6.757371
 XE,-3.984782
 XI,-1.499875
 XK,-4.454785
 XL,-3.924157
 XM,-6.064223
 XN,-6.757371
 XV,-1.520929
 XX,-1.469103
 Y ,-3.260863
 Y',-5.371076
 YA,0.064827
 YC,-5.658758
 YE,2.455068
 YI,-1.033785
 YN,-6.064223
 YO,4.018560
 YR,-5.658758
 YU,-3.712848
 YV,-5.658758
 YW,-6.757371
 Z ,-5.371076
 ZA,-3.499274
 ZE,-1.581221
 ZI,-2.303023
 ZM,-6.757371
 ZO,-1.682197
 ZR,-5.371076
 ZS,-6.757371
 ZU,-4.811460
 ZW,-6.757371
 ZY,-6.757371
''B,-6.757371
'A ,-6.064223
'AB,-5.371076
'AC,-5.147933
'AD,-5.147933
'AE,-6.757371
'AF,-6.757371
'AG,-6.757371
'AI,-3.499274
'AL,-3.984782
'AM,-2.453305
'AN,-3.260863
'AP,-4.811460
'AR,-2.865550
'AS,-5.147933
'AT,-6.064223
'AU,-3.924157
'AV,-1.867021
'AZ,-6.757371
'BA,-6.757371
'BE,-6.064223
'BL,-6.064223
'BO,-6.064223
'BR,-4.677929
