t,x,y,vx,vy
0.63,26.8794330111,30.217047259,37.1993531636,32.3635494438
0.64,27.2499661101,30.5385973443,37.053309898,32.1550085296
0.65,27.6190502211,30.8580762204,36.9084111021,31.94788761
0.66,27.9866966547,31.1754978997,36.7646433581,31.7421679299
0.67,28.3529165892,31.4908762102,36.6219934574,31.5378310462
0.68,28.7177210732,31.8042247984,36.4804483962,31.334858821
0.69,29.0811210269,32.1155571325,36.3399953721,31.1332334153
0.7,29.4431272447,32.4248865054,36.2006217796,30.9329372828
0.71,29.8037503968,32.732226037,36.062315207,30.7339531638
0.72,30.1630010311,33.0375886778,35.9250634322,30.5362640789
0.73,30.5208895753,33.340987211,35.7888544191,30.3398533237
0.74,30.8774263385,33.6424342556,35.6536763143,30.1447044628
0.75,31.2326215129,33.9419422689,35.5195174436,29.9508013243
0.76,31.586485176,34.2395235488,35.3863663085,29.7581279946
0.77,31.9390272918,34.535190237,35.2542115831,29.566668813
0.78,32.2902577129,34.8289543206,35.1230421105,29.3764083664
0.79,32.6401861819,35.1208276355,34.9928469,29.1873314848
0.8,32.9888223332,35.4108218678,34.8636151242,28.9994232357
0.81,33.3361756943,35.698948557,34.7353361152,28.81266892
0.82,33.6822556879,35.9852190977,34.6079993625,28.627054067
0.83,34.027071633,36.269644742,34.4815945097,28.4425644297
0.84,34.3706327465,36.5522366018,34.3561113517,28.2591859809
0.85,34.7129481449,36.8330056509,34.2315398321,28.0769049083
0.86,35.0540268453,37.111962727,34.1078700402,27.8957076104
0.87,35.3938777674,37.3891185339,33.9850922088,27.7155806927
0.88,35.7325097345,37.6644836436,33.8631967113,27.5365109632
0.89,36.0699314751,37.9380684978,33.7421740592,27.3584854289
0.9,36.4061516241,38.2098834108,33.6220148997,27.1814912915
0.91,36.7411787242,38.4799385702,33.5027100133,27.0055159438
0.92,37.0750212273,38.7482440399,33.3842503113,26.8305469664
0.93,37.4076874956,39.0148097611,33.2666268338,26.6565721233
0.94,37.7391858031,39.2796455547,33.149830747,26.4835793593
0.95,38.0695243365,39.5427611226,33.0338533413,26.3115567957
0.96,38.3987111968,39.8041660499,32.918686029,26.1404927276
0.97,38.7267544002,40.0638698061,32.8043203422,25.9703756204
0.98,39.0536618795,40.3218817472,32.6907479306,25.8011941063
0.99,39.3794414851,40.578211117,32.5779605598,25.6329369818
1.0,39.7041009862,40.832867049,32.4659501089,25.4655932039
1.01,40.0276480719,41.0858585679,32.3547085688,25.2991518876
1.02,40.3500903523,41.3371945909,32.2442280401,25.1336023028
1.03,40.6714353596,41.5868839297,32.1345007315,24.9689338715
1.04,40.9916905492,41.8349352913,32.0255189577,24.8051361647
1.05,41.3108633006,42.0813572803,31.9172751375,24.6421989002
1.06,41.6289609185,42.3261583997,31.8097617926,24.4801119394
1.07,41.945990634,42.5693470526,31.7029715451,24.318865285
1.08,42.2619596051,42.8109315433,31.5968971165,24.158449078
1.09,42.5768749184,43.0509200793,31.4915313257,23.9988535959
1.1,42.8907435893,43.2893207718,31.3868670872,23.8400692494
1.11,43.2035725634,43.5261416376,31.28289741,23.6820865807
1.12,43.5153687173,43.7613906002,31.1796153956,23.5248962606
1.13,43.8261388597,43.9950754911,31.0770142366,23.3684890867
1.14,44.1358897318,44.2272040509,30.9750872153,23.2128559806
1.15,44.4446280088,44.4577839307,30.8738277022,23.0579879861
1.16,44.7523603004,44.6868226934,30.7732291544,22.9038762668
1.17,45.0590931515,44.9143278144,30.6732851144,22.750512104
1.18,45.3648330436,45.1403066834,30.5739892086,22.5978868949
1.19,45.6695863951,45.3647666049,30.4753351458,22.44599215
1.2,45.9733595622,45.5877147998,30.3773167163,22.2948194917
1.21,46.2761588401,45.8091584063,30.2799277901,22.1443606521
1.22,46.5779904633,46.029104481,30.1831623158,21.9946074709
1.23,46.8788606065,46.24756,30.0870143197,21.8455518936
1.24,47.1787753855,46.4645318597,29.9914779038,21.6971859702
1.25,47.477740858,46.6800268782,29.8965472452,21.5495018525
1.26,47.7757630239,46.8940517961,29.802216595,21.402491793
1.27,48.0728478267,47.1066132776,29.7084802765,21.256148143
1.28,48.3690011536,47.3177179111,29.6153326847,21.1104633507
1.29,48.6642288364,47.5273722107,29.5227682847,20.9654299598
1.3,48.9585366525,47.7355826167,29.430781611,20.8210406078
1.31,49.2519303252,47.942355497,29.3393672661,20.6772880244
1.32,49.5444155244,48.1476971473,29.2485199197,20.5341650298
1.33,49.8359978674,48.3516137926,29.1582343075,20.3916645335
1.34,50.1266829197,48.5541115879,29.0685052301,20.2497795323
1.35,50.4164761953,48.755196619,28.9793275524,20.1085031092
1.36,50.7053831573,48.9548749034,28.8906962019,19.9678284321
1.37,50.993409219,49.1531523909,28.8026061686,19.8277487517
1.38,51.280559744,49.3500349649,28.7150525035,19.688257401
1.39,51.5668400472,49.5455284428,28.6280303175,19.5493477932
1.4,51.852255395,49.739638577,28.5415347811,19.4110134206
1.41,52.1368110062,49.9323710556,28.4555611232,19.2732478537
1.42,52.4205120525,50.1237315029,28.37010463,19.1360447391
1.43,52.703363659,50.3137254809,28.2851606445,18.999397799
1.44,52.9853709046,50.5023584892,28.2007245653,18.8633008294
1.45,53.2665388231,50.6896359662,28.1167918462,18.7277476994
1.46,53.546872403,50.8755632897,28.033357995,18.5927323495
1.47,53.8263765888,51.0601457776,27.9504185729,18.4582487908
1.48,54.1050562807,51.2433886887,27.8679691934,18.3242911036
1.49,54.3829163359,51.425297223,27.7860055222,18.1908534365
1.5,54.6599615687,51.6058765231,27.7045232757,18.0579300051
1.51,54.9361967509,51.785131674,27.6235182205,17.9255150911
1.52,55.2116266126,51.9630677044,27.5429861731,17.7936030408
1.53,55.4862558426,52.139689587,27.4629229983,17.6621882648
1.54,55.7600890887,52.3150022394,27.3833246094,17.5312652363
1.55,56.0331309584,52.4890105243,27.3041869669,17.4008284903
1.56,56.3053860191,52.6617192505,27.2255060781,17.2708726228
1.57,56.5768587991,52.8331331734,27.1472779962,17.1413922895
1.58,56.8475537873,53.0032569955,27.0694988199,17.0123822052
1.59,57.1174754342,53.1720953669,26.9921646926,16.8838371424
1.6,57.3866281522,53.3396528862,26.9152718016,16.755751931
1.61,57.655016316,53.5059341008,26.838816378,16.6281214567
1.62,57.922644263,53.6709435074,26.7627946955,16.5009406607
1.63,58.1895162937,53.8346855528,26.6872030701,16.3742045383
1.64,58.4556366723,53.9971646342,26.6120378593,16.2479081387
1.65,58.7210096269,54.1583850998,26.5372954618,16.1220465633
1.66,58.9856393501,54.3183512495,26.4629723168,15.9966149657
1.67,59.2495299991,54.477067335,26.3890649033,15.8716085504
1.68,59.5126856965,54.6345375607,26.3155697396,15.747022572
1.69,59.7751105303,54.790766084,26.2424833829,15.6228523348
1.7,60.0368085546,54.9457570159,26.1698024286,15.4990931915
1.71,60.2977837897,55.0995144214,26.0975235099,15.3757405429
1.72,60.5580402227,55.2520423197,26.0256432971,15.2527898366
1.73,60.8175818076,55.4033446854,25.9541584973,15.1302365671
1.74,61.0764124662,55.5534254482,25.8830658537,15.0080762741
1.75,61.3345360876,55.7022884936,25.8123621452,14.8863045427
1.76,61.5919565295,55.8499376636,25.7420441859,14.7649170019
1.77,61.8486776177,55.9963767568,25.6721088248,14.6439093245
1.78,62.1047031472,56.1416095291,25.6025529449,14.5232772262
1.79,62.3600368818,56.2856396938,25.533373463,14.4030164648
1.8,62.6146825551,56.4284709222,25.4645673295,14.2831228399
1.81,62.8686438704,56.5701068441,25.3961315273,14.1635921919
1.82,63.1219245011,56.7105510481,25.3280630721,14.0444204014
1.83,63.3745280912,56.849807082,25.2603590115,13.925603389
1.84,63.6264582555,56.9878784531,25.1930164244,13.8071371141
1.85,63.8777185797,57.1247686289,25.1260324213,13.6890175747
1.86,64.1283126211,57.2604810369,25.059404143,13.5712408066
1.87,64.3782439087,57.3950190658,24.993128761,13.4538028829
1.88,64.6275159435,57.5283860649,24.9272034766,13.3366999135
1.89,64.8761321987,57.6605853453,24.8616255205,13.2199280444
1.9,65.1240961202,57.7916201799,24.7963921527,13.1034834571
1.91,65.3714111268,57.9214938036,24.731500662,12.9873623683
1.92,65.6180806105,58.0502094139,24.6669483654,12.8715610291
1.93,65.8641079366,58.1777701711,24.6027326081,12.7560757247
1.94,66.1094964442,58.3041791989,24.5388507629,12.6409027734
1.95,66.3542494465,58.4294395841,24.4753002298,12.5260385269
1.96,66.5983702309,58.5535543778,24.4120784359,12.4114793691
1.97,66.8418620592,58.676526595,24.3491828348,12.2972217158
1.98,67.0847281683,58.7983592151,24.2866109062,12.1832620142
1.99,67.3269717698,58.9190551826,24.2243601561,12.0695967427
2.0,67.568596051,59.0386174066,24.1624281157,11.9562224098
2.01,67.8096041744,59.1570487622,24.1008123416,11.8431355544
2.02,68.0499992786,59.2743520896,24.0395104153,11.7303327446
2.03,68.289784478,59.3905301954,23.978519943,11.6178105777
2.04,68.5289628635,59.5055858522,23.9178385552,11.5055656798
2.05,68.7675375026,59.6195217993,23.8574639061,11.3935947049
2.06,69.0055114393,59.7323407426,23.797393674,11.2818943351
2.07,69.2428876949,59.8440453554,23.7376255604,11.1704612794
2.08,69.4796692678,59.9546382781,23.6781572898,11.059292274
2.09,69.7158591339,60.064122119,23.6189866096,10.9483840816
2.1,69.9514602468,60.1724994539,23.5601112898,10.8377334908
2.11,70.1864755381,60.279772827,23.5015291226,10.727337316
2.12,70.4209079173,60.385944751,23.4432379221,10.6171923967
2.13,70.6547602725,60.491017707,23.385235524,10.5072955974
2.14,70.8880354704,60.594994145,23.3275197857,10.3976438071
2.15,71.1207363562,60.6978764844,23.2700885855,10.2882339389
2.16,71.3528657545,60.7996671137,23.2129398228,10.1790629294
