"Date","Remain","Leave","Undecided","Sample"
20130121,0.37,0.4,0.24,0
20130118,0.34,0.25,0.4,1912
20130111,0.36,0.42,0.21,1995
20130106,0.36,0.54,0.1,1002
20130103,0.31,0.46,0.22,0
20121115,0.3,0.56,0.14,1957
20121128,0.3,0.51,0.09,0
20111216,0.41,0.41,0.19,0
20111209,0.35,0.44,0.2,0
20110808,0.3,0.52,0.19,0
20100909,0.33,0.47,0.19,0
